Nama_Kos,Fasilitas,Harga
Kost Asrama Brigif Harja Mekar,"K Mandi DalamKasurAkses 24 Jam
41",Rp500.000
Kost Hj Engkar Drk,K Mandi DalamACKloset DudukKasur,Rp1.100.000
Kost Asrama Brigif,"K Mandi DalamKasurAkses 24 Jam
35",Rp550.000
Kost Twins Garden Tipe B,K Mandi DalamACKloset DudukKasurAkses 24 Jam,Rp1.050.000
Kost Indri Tipe A,WiFiKloset DudukKasur,Rp550.000
Kost Kampung Dusun Cibeber Tipe A,K Mandi DalamWiFiACKloset DudukKasur,Rp1.400.000
Kost H Udin,K Mandi Dalam,Rp600.000
Kost Ruma Residence Tipe A,K Mandi DalamWiFiACKloset DudukKasur,Rp1.000.000
Kost Delapan President Univ,K Mandi DalamWiFiACKloset DudukKasur,Rp1.150.000
Kost Putih 02,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp900.000
Kost Ruma Residence Tipe B,K Mandi DalamWiFiACKloset DudukKasur,Rp1.200.000
Kost Mora 1,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp800.000
Kost Puri Yosefa 2 Tipe A,"K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam
46",Rp1.200.000
Kost Haji Engkar,K Mandi DalamACKloset DudukKasur,Rp1.300.000
Kost Pasir Gombong Tipe A di Pasir Gombong Cikarang,"K Mandi DalamWiFiKasur
41",Rp700.000
Kost Tulip Tipe A,"K Mandi DalamWiFiAkses 24 Jam
40",Rp620.000
Kost Tulip Tipe B,K Mandi DalamWiFiACAkses 24 Jam,Rp820.000
Kost Ara Mahasiswa Karyawan,K Mandi DalamWiFiACKloset DudukKasur,Rp1.100.000
Kost Wisma Adika Ibu Sulis Tipe A,K Mandi DalamWiFiKasurAkses 24 Jam,Rp550.000
Kost Salio Kaliulu,K Mandi DalamKasur,Rp900.000
Kost Yanni 1 Tipe A,"K Mandi DalamKasur
44",Rp750.000
Kost Joyful I Tipe B,WiFiACKloset DudukKasurAkses 24 Jam,Rp700.000
Kost Pasir Gombong Tipe B di Pasir Gombong Cikarang,K Mandi DalamWiFiACKasur,Rp900.000
Kost E Mang,K Mandi DalamAkses 24 Jam,Rp525.000
Kost Saliyo,K Mandi DalamKasur,Rp600.000
Kost Yanni 1 Tipe B,K Mandi DalamKasur,Rp800.000
Kost Zeze,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp1.300.000
Kost Pak Edy Bu Nurita,K Mandi DalamKloset DudukAkses 24 Jam,Rp550.000
Kost Joyful I Tipe C,WiFiKloset DudukKasurAkses 24 Jam,Rp550.000
Kost Pintu Dua Bpk H Engkar Tipe A,K Mandi DalamACKloset DudukKasur,Rp1.100.000
Kost Yanni 2 Tipe B,"K Mandi DalamKasur
45",Rp800.000
Kost Dahlia Tipe A,K Mandi DalamWiFiACKloset DudukKasur,Rp1.200.000
Kost Loka Superior,WiFiACKasur,Rp1.200.000
Kost Tolu Tipe Executive,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp1.200.000
Kost Baru H Engkar,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.300.000
Kost Joyful I Tipe D,WiFiACKloset DudukKasurAkses 24 Jam,Rp900.000
Kost Yanni 2 Tipe A,"K Mandi DalamKasur
44",Rp750.000
Kost Marzia,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.250.000
Kost Cinta Single B With Bed,K Mandi DalamWiFiKasur,Rp650.000
Kost Grand Family,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.100.000
Kost Mafaazaa,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.150.000
Kost Asya,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.400.000
Kost Puri Chayankoe,"K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam
45",Rp1.300.000
Kost Orange I,K Mandi DalamAkses 24 Jam,Rp500.000
Kost Hafid Tipe A,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp1.310.000
Kost Cinta Tipe D Double Bed,K Mandi DalamWiFiKasur,Rp670.000
Kost Kp Kaliulu,K Mandi Dalam,Rp500.000
Kost Sri Ningsih Jababeka Single Blok Tengah,K Mandi DalamWiFiKasur,Rp600.000
Kost Moses Tipe B,K Mandi DalamAkses 24 Jam,Rp600.000
Kost Loka,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp1.300.000
Kost Mpok Upa Non Ac,Kloset DudukKasur,Rp750.000
Kost Btn Elisabet Tipe A,Kloset DudukKasurAkses 24 Jam,Rp800.000
Kost Cinta Family C,K Mandi DalamWiFiAkses 24 Jam,Rp800.000
Kost Sri Ningsih 2 Tipe Double Orang,K Mandi DalamWiFi,Rp750.000
Kost Sukirno Tipe A,K Mandi DalamAkses 24 Jam,Rp600.000
Kost Bu Yanto,K Mandi DalamAkses 24 Jam,Rp550.000
Kost Graha Cahaya Persada Pasir Gombong Tipe A,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.100.000
Kost Roomakos 1B,K Mandi DalamKasurAkses 24 Jam,Rp440.000
Kost Sri Ningsih Single Blok Depan,K Mandi DalamWiFiKasur,Rp650.000
Kost Pandawa Tipe A Villa,K Mandi DalamACKloset DudukKasur,Rp1.650.000
Kost Tiara 1 Tipe A,K Mandi DalamACKloset DudukKasur,Rp1.000.000
Kost Yeni,K Mandi DalamWiFiACKasur,Rp1.300.000
Kost Jamaludin 2,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp1.000.000
Kost Griya Tiara Tipe A,"K Mandi DalamACKloset DudukKasurAkses 24 Jam
48",Rp1.300.000
Kost Jaya Asri,K Mandi DalamAkses 24 Jam,Rp450.000
Kost Zulmi,K Mandi Dalam,Rp500.000
Kost Mpok Upa Tipe C,Kloset DudukKasurAkses 24 Jam,Rp850.000
Kost Sri Ningsih Single Blok 1,K Mandi DalamWiFiKasurAkses 24 Jam,Rp650.000
Kost Pak Siswanto Bima 168,K Mandi DalamWiFiACKasurAkses 24 Jam,Rp1.100.000
Kost El Bahari,"WiFiKasurAkses 24 Jam
50",Rp650.000
Kost Cinta Family E with AC,K Mandi DalamWiFiACKasur,Rp1.150.000
Kost Mpok Upa Tipe VVIP,K Mandi DalamACKloset DudukKasur,Rp1.700.000
Kost Rooma 2A,K Mandi DalamKasurAkses 24 Jam,Rp440.000
